business_unit,team,env,one_month_avg,six_month_avg,ec2_percentage,fargate_percentage,lambda_percentage,utilization_rate,deployment_frequency,seasonality,one_month_cv,six_month_cv,actual_compute_spend
application,credit,staging,21072.21011457325,56751.29484806794,63.588035878244185,30.05940884453601,11.488760831827063,89.53865318660169,medium,medium,0.2723998506086443,0.0250094315499455,111950.1800079299
r&d,credit,prod,42619.65516630096,73504.44455739294,24.71343781031925,43.81674780703417,12.30977559619351,68.69639348533919,medium,high,0.1261203142452117,0.1041829290354066,116770.88133333079
application,main,test,23567.59266983692,62220.98944268665,32.640999857013774,50.1462130187668,22.63266606339818,78.1406305476815,low,medium,0.1364521061580848,0.0919325142340088,107446.21256161875
r&d,debit,dev,22903.009809080173,35300.042254922315,67.34639484716942,17.998850883051528,23.385914847304655,52.366226506821064,low,high,0.2931874697138287,0.0926205396739831,70420.54794367519
r&d,debit,dev,42057.58824764418,34687.06941928406,47.55679258754137,41.374257693234746,12.58740579472538,52.06139069995302,very high,medium,0.107248380572816,0.0613991865981402,69881.17720510776
infrastructure,ops,staging,42048.987094315635,41711.36055002268,70.19584999283865,26.559892413903167,13.633599448158256,62.539916755598135,very high,low,0.0355832835612172,0.1251871627438205,77541.94482610805
r&d,debit,prod,82970.12820812833,90864.21367758508,24.912472389028498,25.278660820217873,29.776412718477175,84.48508211823116,low,low,0.0384480799883034,0.0601261347850894,147280.32536626272
infrastructure,research,prod,97986.77222248896,61793.18723037807,52.5444907024821,42.951420316736005,7.548813739506937,92.60738739000058,medium,low,0.0770214133871139,0.0365646394344299,118818.33202176189
r&d,debit,staging,49696.567511199864,76712.43016014955,15.865368078378314,26.29508007857639,15.116125711002482,77.95929399899242,medium,medium,0.1399445107082408,0.1008565214389037,129506.1864410156
r&d,ops,prod,54310.95030888309,45724.7007853238,55.01426954780207,24.035967509042425,6.561188279937687,76.60663697911762,high,high,0.1449678166512953,0.0265993454617665,90375.72494519486
infrastructure,debit,test,87583.15490288171,50617.26165321802,63.37738264428743,50.973862446943336,25.526959049956027,70.1154766895733,very high,medium,0.0616094919646602,0.0696756621896468,97650.27736309392
infrastructure,research,dev,41451.12160764107,28045.24629098011,50.94516257851052,10.570186810705351,7.308645973635806,58.079897797901054,very high,medium,0.0659227158639577,0.2240403757481801,62684.19327614995
r&d,main,staging,32510.544352275836,31703.59662573363,28.63620510491672,42.174094255661586,21.85018391156778,55.917705066329376,very high,medium,0.065815734260022,0.0892650485644298,62284.54289368694
application,ops,staging,88247.16987229204,84188.52438609164,12.19398682012067,18.679896658484353,6.412085600087051,88.0339880610483,high,medium,0.0261583582521667,0.0895043500356881,140423.43837840646
infrastructure,main,prod,23720.04691520524,64787.09053511056,18.361421877500003,5.852403300440467,21.821375945242277,96.3751775648288,high,high,0.0480003101385488,0.1047874888350524,124245.57866146068
application,main,staging,69575.95521595326,45002.59727070551,53.561208535181834,14.17203478799806,26.07592367319258,72.91416081931365,medium,medium,0.0536791017142257,0.1601395167329674,89757.78629096209
application,main,test,64959.42779734454,82228.09671964368,75.40941517897596,38.366384137672725,14.970538173101437,82.97228293578192,low,low,0.0360223887869968,0.0183928075109001,133363.12938258404
application,credit,prod,47673.63580013554,37721.59245103864,24.457408278040447,44.00199553172656,18.053162335804423,95.72288254404704,low,low,0.0814200167041986,0.0449252133287245,88393.83418645606
infrastructure,credit,prod,45215.16168778871,96082.6158880163,61.45183043735692,6.158178095597602,15.038543450132062,54.50568164670723,low,low,0.1668679429915437,0.0305469074057029,135211.45077343905
application,main,prod,81748.6180945297,45585.40861969358,70.6515744274329,7.003399381594608,12.512218965815972,88.5240726559515,medium,medium,0.0490990742119825,0.1075707348614358,96916.9099175895
infrastructure,ops,prod,26913.96886100372,44984.87633209821,46.461752491325775,54.63981631636242,25.081585015678204,80.84084421877876,low,high,0.2655086477880151,0.1524542737722591,93452.69275472588
application,research,test,38942.74474491083,42952.95244293642,56.848605709056045,9.03181999625459,11.80006434327474,79.93185894149306,high,high,0.134518853271012,0.1771825250331359,89559.7512829506
r&d,research,prod,78595.89854704718,27768.921273943037,67.05107216733037,54.18001872391142,23.073585609736178,64.62702142407849,high,high,0.0347336302923698,0.2336010866840178,71195.64253643597
r&d,debit,staging,63865.64669811394,26890.971786560993,28.24726104184155,17.549125256299817,10.154926981380056,84.19466773888385,very high,medium,0.0546613632727463,0.3121149194468658,76970.71378415864
infrastructure,ops,test,30239.05668268691,69848.40276272988,30.782697198763007,45.70097900870171,11.246344901958238,89.73988774103883,low,high,0.0524962391323165,0.0970576214142545,125994.40857366187
r&d,credit,dev,90570.8491425648,88009.44356464376,10.043926163991932,22.035328692030664,13.411529064430306,55.642908247184856,high,low,0.0368135905397524,0.035260727870184,130087.60178597165
r&d,main,dev,51475.82772508732,81241.64082173388,77.41658916284618,52.23136140850511,19.728909434844702,76.6760715490492,very high,high,0.1115627833940769,0.0338889132350134,129753.72907699343
application,debit,staging,86229.47002577383,29288.607521708087,74.22814262174414,43.52501759833968,16.360557978988528,55.06325904937049,low,medium,0.0174508512003642,0.2191171370234194,58692.75059156975
infrastructure,research,staging,83017.04124221668,61646.56974336532,63.51977846316012,27.09974022309323,23.628620245695508,93.62870096488224,low,medium,0.0293651739795624,0.0347042802668184,112518.26257079384
application,credit,test,69954.03571773824,26447.3236781312,15.535321468365368,9.196634979574377,10.339182508404807,75.38183613281737,high,high,0.0524642681760611,0.0487034494515745,73147.31843521136
application,credit,dev,59558.490503607434,21623.571489046197,41.32520227896557,45.298510112894384,5.266807196220853,90.39828446303788,very high,medium,0.132211993496289,0.2323341654648766,71442.30119350231
application,main,dev,98364.06723054056,70510.86875078137,17.132422778008696,38.928661578084984,24.4139367946305,68.40428188331072,very high,high,0.0660203765821495,0.106139003471549,114455.83461296665
application,research,dev,31597.205790385364,60812.18669442803,11.114418708395904,5.1601444808583805,25.54123334700181,56.25391134081627,high,high,0.1941439779878052,0.0223923646725009,94038.68065887039
application,ops,dev,78012.45820408918,24561.89481691767,53.13280756488181,5.518092078484493,6.487004077709739,52.07496521928557,high,low,0.0232441937790786,0.2944022155523237,55329.89418040592
application,credit,dev,35295.25611718312,20795.139712479075,77.25805919561319,49.483613525598166,20.27268805395991,64.07548103861878,high,medium,0.183224942010169,0.3557736153389935,59823.795321988844
application,main,prod,47061.04842658787,97180.51307274678,73.2007616402505,19.266985634101964,14.455169596826948,62.21168501820392,low,low,0.1380522087336582,0.0473276879825709,143781.6752269706
infrastructure,ops,staging,44695.89946985562,20401.70657192575,58.772837045478305,39.98735172504361,24.84739137986292,78.0175987009981,high,medium,0.1165144662293362,0.0483850520841973,66810.19746686284
r&d,research,prod,95762.87901909785,53562.260244012774,16.764840891541,29.98179308708861,26.860363854911963,51.08694190318537,high,high,0.082835150271606,0.0370412623844203,91795.22044865176
application,credit,dev,97388.49422306202,58369.52196861565,29.19148263706101,52.4886507986972,26.275094169931226,76.02852721495867,medium,medium,0.0336464524645654,0.1115843186514089,109671.69339070287
application,ops,test,34641.23553877817,27382.411824035604,32.403970881970366,55.43286122063687,24.430106183771304,69.58858710060017,high,high,0.2190714915233831,0.2392087510229301,66274.08181136905
application,ops,test,21762.812823800337,31524.9422751773,63.420504042189286,59.824424197336974,11.726305718554071,78.85611349572211,high,medium,0.3401728381636081,0.2580819900606589,75995.85134865715
application,ops,dev,77600.64317304906,46144.4005128282,66.15744254645799,13.452627469398577,25.29724108920792,85.12087640751824,low,low,0.0139221090711379,0.1181688825754288,99165.19442958749
application,credit,dev,53439.194709638745,78934.070097093,36.957428609294425,52.463022556151145,18.33696189765732,81.70459725399195,very high,low,0.0776736196695531,0.0196988781099781,132657.12284533583
application,credit,test,27107.21960700515,58566.59392482134,39.25187976323268,19.631175720084094,6.31891537080227,99.23221846866832,low,high,0.2892118684623428,0.0261587125718603,116964.22614881008
r&d,debit,prod,74700.3284461634,69032.14996423692,13.115632749331994,37.49487311925292,16.423471247456224,56.91326719384355,medium,low,0.0230500932549107,0.0960367747631729,111420.62315871134
r&d,research,prod,63608.442260855976,96813.96440725398,30.23957028931327,32.8175058628066,28.55394792574983,71.48685044648893,high,high,0.0760039499294315,0.0213003327158726,138411.8414694509
application,main,dev,98441.34576008849,79440.43482505677,41.58996240243479,5.989347236481321,27.196483743388814,71.24153683216556,high,high,0.0797703697430707,0.0414307493909011,122956.09289221179
r&d,ops,prod,38192.75966891032,52748.91985129742,18.18881324696803,56.30242039483521,7.556607024927901,70.85266018514604,high,high,0.1279946254504445,0.0879885706080881,97582.05823103701
infrastructure,debit,test,52318.23010612386,53715.3537437239,41.7287222528515,9.307988033207014,23.603167142859256,83.18991960213341,high,medium,0.0445104338598892,0.0132271577841056,103387.3837339057
application,main,prod,63403.66427163383,67501.76616328041,69.72230685804603,42.85204056742547,25.14482164895587,74.49140302733612,high,high,0.0800471497815112,0.0387391601479593,109675.78507726437
infrastructure,debit,dev,83335.99907626814,71229.21667351235,50.69247138075374,48.175375991454416,11.78470470591912,75.87162799064815,high,low,0.0291720750287271,0.0556943043540038,117361.3601918731
infrastructure,credit,test,63907.092537604694,58056.874066933706,15.525089852688865,48.74083169762263,16.790214268527308,71.61779960733824,medium,medium,0.0725730064707967,0.049553282938993,97901.32262930035
application,ops,prod,69032.01286895594,69588.8978251984,23.416992318119203,12.452198541086464,22.774698536592073,99.58497305092811,high,low,0.0219940787221231,0.023842133376533,129423.09889156876
r&d,main,staging,38091.76412719526,19882.5995531279,43.218104511098936,29.616347277938463,15.976037220528696,96.37806744095212,high,high,0.1375199811436651,0.3363797663075458,78426.8770597048
infrastructure,main,test,87753.49824708479,52369.82911174753,35.304100487526846,50.61858787386889,7.819922971664424,65.38620946821855,high,high,0.0526193219203144,0.141527195995094,96818.11200558754
application,main,test,54290.44375763806,40315.046085878144,35.110891368226916,21.64735657083151,22.647061117043037,55.57969623833336,medium,low,0.1138529942566664,0.0666890294877632,77274.1191282869
infrastructure,main,staging,31276.770201741543,28333.955619448832,47.04872137005131,30.726177145606496,27.79096724338259,91.98823620193014,high,medium,0.1731285955418115,0.2499674171611959,80938.63911341556
infrastructure,main,staging,73135.03316043339,25963.721024702012,50.90771451126202,20.00366409849152,21.31211821015394,99.85851257128624,medium,low,0.0662780020770906,0.1454801218137229,82550.41916452766
infrastructure,debit,test,37287.2362548246,66255.3732491734,65.78030991933338,30.495327983692828,24.345018714225848,64.63044470198227,low,high,0.1563122540084398,0.0725500285717429,103727.96692350632
infrastructure,ops,staging,27805.000819143977,59888.04377220894,33.86765944237393,53.8310857426084,13.959063391445712,67.88924629208832,high,medium,0.0722026015414957,0.129842430087861,101014.49126778188
r&d,credit,dev,88958.95267234178,38286.729359709534,66.38263981284106,30.03183270680232,9.579956128165872,97.08165907426014,very high,high,0.0580887867221582,0.1795558516041554,91281.51995100688
infrastructure,credit,dev,56812.98115907517,55676.00470180116,33.70278603788428,35.575160939087624,21.069341540457312,85.5564759001545,medium,high,0.0388075783875188,0.1318969145778153,109959.69447941236
infrastructure,credit,dev,79942.69701566212,57378.58521459266,13.880309225886368,27.218695581669596,13.194280146030472,64.7819165889818,low,low,0.0935502020090462,0.0289861436939202,102469.12623102053
infrastructure,credit,test,43247.004784508405,33600.718435089264,48.79313557033538,30.306445076182904,26.50183797474482,79.05232456419576,medium,high,0.0341836097386515,0.0325176118390873,80840.62156179288
r&d,debit,staging,82957.6107934133,70167.44495053205,51.153162742637015,5.834580947553193,8.065701249450164,97.2114789682128,medium,low,0.0483695613875387,0.115351787470017,130221.80425604574
infrastructure,research,staging,28954.874161722422,80473.54851088724,75.41781719353021,20.60600304782508,15.836592493328093,90.59065534728892,low,medium,0.2027493647804854,0.0471781269946193,131884.36134029023
infrastructure,ops,prod,48477.86990358822,81317.08327116151,60.82429282437321,29.011994695800343,14.918190011709646,87.09163568643298,high,high,0.0867644450971737,0.0362405677262825,135929.45910349622
r&d,main,prod,98244.94543788228,66197.5864562764,74.24408567461077,39.85883367960009,28.451346338848243,86.84981558635113,high,high,0.0167404721464291,0.1006066613263067,120913.78774635294
r&d,research,staging,83519.17730944048,58931.08660152113,73.58430471701067,29.752856180464068,8.828370015110096,58.90101621461352,medium,medium,0.0583537011485392,0.1291259504916775,96744.87407298361
r&d,credit,staging,59780.47442517505,22880.57144043159,52.32018771807695,23.579937382686023,5.246170625300274,91.23406196139685,low,low,0.0918598156771888,0.3422625088942202,72730.65474572296
infrastructure,research,staging,47182.197724950805,41026.50390812846,46.94334457355133,26.345430443928645,10.95213032017794,63.805931622172906,high,high,0.1256097948527626,0.077656524345795,84160.66831425221
r&d,ops,test,89770.85600179812,25461.715742253593,49.020867701452,18.326133106025654,25.506921494216364,96.51833289507648,medium,medium,0.0402448953050748,0.3041352516697617,83234.90824923232
r&d,main,staging,63587.82072676125,95105.85287027789,78.48315653740734,55.84718555257291,10.233045401175426,68.23199955068915,very high,high,0.0777762115555557,0.0089157344326484,143087.70926162569
infrastructure,main,prod,80674.00142952889,28806.411698060856,64.12173842228712,33.6958774185003,11.021951592637068,92.88301985211282,low,low,0.0515011682939978,0.03201102195834,85063.88625275911
r&d,ops,test,80328.61442529313,30142.032788088163,17.438613335467707,5.737519962966771,8.24747011342027,63.31167472589007,very high,low,0.0710132038511749,0.1924194429671107,73688.18897341705
infrastructure,ops,staging,21435.654285479348,89166.12946643938,64.489988474698,6.069544213075064,22.88590508191351,75.72634682911203,very high,low,0.2372168679133005,0.0116232939983363,133685.1268556485
application,credit,prod,30100.302623409076,93514.26267811663,21.93766342287581,58.51288992236229,6.729354762635429,55.34426477445303,medium,low,0.1554899163463582,0.0348522015679545,127363.25735258996
r&d,main,test,72770.34931157937,79266.3231387928,41.31453843039379,17.179799025528474,13.28020755821304,83.0059451498087,low,medium,0.0377443642067372,0.078449783424552,129065.86199127628
application,research,staging,32929.58490286971,18432.39389381359,24.7321770523574,49.30845588478731,12.062468165524113,91.80396375834192,high,high,0.0307969149088562,0.1826549842552411,66641.70437037529
infrastructure,debit,staging,40439.467572448375,18107.701676525096,58.270814587326086,8.205141585831596,18.87899324475387,85.9223640651208,high,medium,0.0548615464139179,0.1119191258197116,68077.77643371616
r&d,debit,staging,95731.03633596856,48248.06158299606,71.41168153351249,55.663950518200195,23.26040662549339,76.16292564693286,medium,low,0.0190059813369591,0.0599294601874055,95124.27919331007
infrastructure,ops,test,64814.58066999295,29471.6296008714,30.325331975667662,53.09293520166731,18.321910867418687,52.255793930072976,high,low,0.063929954838001,0.1489361254729832,63284.111609419386
application,credit,prod,80058.36055994777,19470.891372127782,15.740751884573134,36.410123933898305,28.27564982437669,96.67205035854292,high,low,0.0660244229130185,0.2332086232591098,72067.2994128869
infrastructure,debit,prod,64638.45910261119,55125.33515236038,30.89451686524743,5.494926150579068,28.786065972183295,85.27447742893173,very high,low,0.038546634548301,0.1298042351429555,110111.55631082041
r&d,main,dev,64201.089182618016,93444.95179255772,57.0653300552536,19.179598071283564,14.036633212462885,87.29321191826665,very high,high,0.1179637256655881,0.0735866659274739,142473.89916974964
r&d,ops,staging,27532.15281005583,43905.56599219451,33.013208928811494,27.375245606915573,24.44200940687232,89.73402877554037,low,low,0.0380200891586251,0.0998267814041241,95424.70513776678
application,research,dev,47493.05540872824,70891.25427429573,29.46785172876624,30.303526421115897,23.47003458170474,87.38717129638053,very high,high,0.1348851332268694,0.1084502248696591,125963.86753829726
infrastructure,ops,dev,42594.471894920935,70178.82825059525,22.910463340898545,21.37233172093046,27.324114792620684,72.05580820491669,high,low,0.1262237362626908,0.0209609609435789,117645.09722953202
r&d,research,prod,51258.26924908906,38086.40829321342,44.82614988121035,6.812132753504149,16.198591005192583,86.68109146439734,low,high,0.070522935329074,0.0701169681421893,87982.39069544066
application,ops,test,83867.53505794625,70034.01990590914,29.31641797100313,37.457007325959815,18.261829679944807,81.25133939051645,low,high,0.0161376223821499,0.1076305479807697,115086.2586120169
r&d,ops,test,49754.613433349194,34986.717942951305,61.17072443976382,33.828506723211575,15.394357839539351,92.70081668343931,medium,low,0.1083800200701704,0.1061245394431271,89931.78911301897
r&d,ops,prod,56135.74553853462,27760.59308615112,15.363568139454191,20.565034948599276,26.25942298249264,90.12299076686853,very high,medium,0.0658990907588488,0.3184385586544861,74978.01054260915
infrastructure,research,test,51790.51123882532,74110.66284477522,56.48231231779223,7.0886782163283595,10.742557884053358,52.06871912336299,low,medium,0.1458543234118471,0.0602228170909046,105403.5636400804
r&d,research,dev,27472.637758023648,27075.26536831334,26.629201019743892,59.70268029720671,10.992726956061118,68.94435451663026,high,medium,0.1744983705770388,0.2670870514774378,69875.3609689548
infrastructure,ops,staging,55285.7726600627,97752.73748714842,44.24954827361222,31.509240275452328,14.315127589426996,51.73580760919473,low,medium,0.1370616745405175,0.0400971875827566,131671.69396848077
r&d,debit,prod,35648.741843561205,32676.192092018347,30.026294542188243,46.58023329757424,10.75857080255878,55.10374623830489,low,medium,0.0713457396469802,0.1258440671560105,66021.29494381759
application,credit,staging,34937.863661843316,65531.3490205166,60.593807320755694,29.87727192782345,19.02517091037302,80.07053610018056,medium,low,0.174025562392613,0.0572932925696386,114231.71416635893
r&d,credit,test,27522.888354741302,50909.96571300715,76.17149281761456,7.374365997461779,8.362252662387558,93.69109105811268,high,low,0.1933206674155071,0.1298791441270317,110275.07987858675
infrastructure,credit,staging,48533.67793134118,28110.913792453368,74.19537456288693,22.028040979702503,13.004655485101384,55.99123793546336,high,low,0.1272489098715317,0.183341674787305,67407.58840830778
infrastructure,research,test,80598.55078315339,20227.51260619307,50.83983506008638,22.606057755324564,27.83611746188975,72.55446437334157,very high,low,0.0310511172160041,0.4213129964394096,62412.93099484559
application,research,test,42115.33524667169,67818.58258342667,42.38272122798848,51.10940972269588,15.230637004794898,95.5439452403222,high,low,0.134273218544813,0.0388177928564262,122485.38545733655
r&d,debit,dev,44987.928150841086,82540.60510313009,67.28103566075673,40.98264878999309,23.70584291233773,90.7150491835794,low,low,0.099721923987162,0.016413536356034,135350.3769005301
r&d,credit,test,71413.97261379389,85361.25292053953,57.8328453839411,20.148644700171005,7.83655479266435,75.98339482329649,high,high,0.0868145910026955,0.0450171769025041,131051.1697830236
application,credit,dev,35667.26500695351,56617.07784615476,22.8494879951853,58.22569750624973,11.189112703544616,88.57857196644156,high,high,0.092222168097875,0.1014191871682331,109136.99996457684
r&d,ops,dev,91756.63443388276,80196.43737459084,67.46434495291001,22.684800781882927,25.183640530009217,76.13468870222685,low,low,0.0787997426329623,0.0974705513072872,129212.95397845386
r&d,research,dev,61615.241860124355,71827.77067908358,40.021907257629714,59.90287142057962,24.074823407242352,57.90461686414244,medium,low,0.0258070755591487,0.0479295612857618,109940.94632727088
infrastructure,credit,prod,55808.235225617354,75940.36219993065,23.22899619798226,59.78900312436448,14.653897964845529,56.23680566108395,very high,high,0.1191638689998506,0.0797624242113959,112880.93951602578
r&d,debit,prod,64625.615354336114,57407.920417745125,29.725814527754473,15.5165784760708,28.859922550836856,59.41841160335349,very high,high,0.1087685949629259,0.0605611344810653,92397.06730914513
r&d,debit,test,33282.745073295635,68672.93921937016,28.726892117383965,22.20076139036201,27.76607539586363,67.54610474828397,medium,low,0.2019294431624315,0.083677304638099,110813.43181938642
application,credit,dev,69077.8510911341,82442.07308608457,46.344488222242205,31.73243091665598,29.057518727805995,96.52646338370091,low,high,0.0664335193892768,0.0972909492630696,138602.56104293282
application,research,prod,49048.058930720836,49830.73404456185,26.405906347451285,41.525536913134005,15.697867254694634,89.98392068268006,very high,medium,0.0829532289129374,0.0494983669515933,102792.43270060192
infrastructure,debit,dev,91774.9072771695,82478.3120694067,18.649654118110337,34.04260969520897,9.936839592142077,71.64007806131588,medium,medium,0.086884707838411,0.0477222903712867,130045.65688015001
r&d,ops,staging,33508.33653421489,65361.34742312503,18.65835954296325,58.31928080227412,20.66646597728353,74.65383548937871,medium,medium,0.0777180823595948,0.1368202236064808,113201.72035607403
r&d,debit,staging,60564.08830923528,31272.081949662897,50.829333799736766,44.81940403296303,22.119328956979963,63.28047288332074,medium,high,0.079719383151287,0.2520693938065543,69262.41186169499
r&d,main,staging,67849.01034952144,19974.73257796677,61.4331502194565,16.66246671606359,8.136044611263,85.21764782360651,very high,low,0.0839323764390978,0.2653071209555661,69287.30618608148
infrastructure,main,test,22670.688142910494,47020.28803193216,32.50731061868386,10.780365261750108,24.66207585739765,90.1382835731019,very high,low,0.2605158437979286,0.1040260435546367,97457.96600258019
infrastructure,research,dev,49095.44998049122,61735.70626370719,12.425549686981196,42.86207098901462,5.451505493999013,61.94523478337883,very high,low,0.049458201546883,0.0472838722719181,96238.54665627211
application,credit,staging,78610.81877606662,85185.62817627907,18.905742085590752,13.714884209941964,17.068209686919584,52.09108118932327,very high,high,0.0709566282761685,0.0574777722512402,122378.41635749704
infrastructure,research,prod,85630.20059591786,28198.854411219698,74.02861922359399,48.32222621846648,13.275406487372372,81.19444715814852,high,high,0.0785772650133219,0.2733991467508728,73514.24421864044
r&d,research,staging,45052.95958538259,82016.50781468634,44.54805617126171,22.10701669931853,23.507576497477103,78.12560595676584,medium,medium,0.0299676214431389,0.0771062257021473,131940.86926448852
r&d,research,staging,83887.4617906201,87040.72368537815,41.75009667306223,22.979129468058357,12.8190181855454,70.10655775144382,high,high,0.0879827437346839,0.0340688141591248,134609.12355849022
infrastructure,research,staging,97420.4701682711,30054.998960066703,12.663442481706364,5.593911581423158,25.67017781952582,82.1946970886605,medium,medium,0.0123847522387486,0.0736131560641424,82415.96723127407
r&d,ops,test,88549.91488600752,86127.54554433752,61.00459156218294,43.55561969022724,19.87383721952026,77.53066489925718,very high,medium,0.0394330952425401,0.0319789975096315,139080.9242665275
r&d,ops,prod,29411.519052746014,97316.28542742335,46.96476566524552,11.229836418557715,24.8473340440518,62.52907882970964,very high,low,0.0377638561149746,0.0199653449913893,134258.5434967524
